filename,text,type,slug
"Acné.mp4","Acné","word","acne"
"Enfermedad_de_la_piel,_que_se_da_principalmente_en_el_rostro,_producida_por_la_inflamación_de_las_glándulassebáceas.mp4","Enfermedad de la piel, que se da principalmente en el rostro, producida por la inflamación de las glándulas
sebáceas.","definition","acne"
"La_población_en_la_que_generalmente_se_presenta_el_acné,_es_cuando_los_niños_crecen_y_se_convierten_en_jóvenes.mp4","La población en la que generalmente se presenta el acné, es cuando los niños crecen y se convierten en jóvenes.","example","acne"
"Acostumbrar.m4v","Acostumbrar","word","acostumbrar"
"Forma_habitual_de_actuar_de_una_persona,_adquirir_por_la_repetición_de_una_acción.m4v","Forma habitual de actuar de una persona, adquirir por la repetición de una acción.","definition","acostumbrar"
"Yo_fui_a_un_país_que_tiene_una_cultura_diferente,_estoy_acostumbrado_a_Colombia.m4v","Yo fui a un país que tiene una cultura diferente, estoy acostumbrado a Colombia.","example","acostumbrar"
"Abuelo.m4v","Abuelo","word","abuelo"
"Padre_o_madre_de_alguno_de_los_padres_de_una_persona.m4v","Padre o madre de alguno de los padres de una persona.","definition","abuelo"
"La_abuela_siempre_va_a_la_iglesia_a_rezar_arrodillada_¡Ella_es_así!.m4v","La abuela siempre va a la iglesia a rezar arrodillada ¡Ella es así!","example","abuelo"
"Aplazar.m4v","Aplazar","word","aplazar"
"Dejar_una_actividad_para_hacerla_más_tarde.m4v","Dejar una actividad para hacerla más tarde.","definition","aplazar"
"El_paseo_se_aplazó_para_el_domingo.m4v","El paseo se aplazó para el domingo.","example","aplazar"
"Abrazar.m4v","Abrazar","word","abrazar"
"Rodear_a_alguien_con_los_brazos,_como_muestra_de_afecto.m4v","Rodear a alguien con los brazos, como muestra de afecto.","definition","abrazar"
"Me_encontré_con_un_excompañero_que_no_veía_hace_mucho_tiempo._Le_di_un_abrazo_y_le_dije_que_milagro_verte.m4v","Me encontré con un excompañero que no veía hace mucho tiempo. Le di un abrazo y le dije: ""que milagro verte"".","example","abrazar"
"Asistir.m4v","Asistir","word","asistir"
"Estar_o_hallarse_presente_en_un_lugar.m4v","Estar o hallarse presente en un lugar.","definition","asistir"
"El_hombre_anciano_asiste_todos_los_domingos_a_jugar_futbol.m4v","El hombre anciano asiste todos los domingos a jugar futbol.","example","asistir"
"Abril.m4v","Abril","word","abril"
"Cuarto_mes_de_año.m4v","Cuarto mes de año.","definition","abril"
"Abril_es_el_mes_del_año_en_que_más_llueve_en_Bogotá.m4v","Abril es el mes del año en que más llueve en Bogotá.","example","abril"
"Avión.m4v","Avión","word","avion"
"Vehículo_con_alas_que_se_usa_para_el_transporte_aéreo.m4v","Vehículo con alas que se usa para el transporte aéreo.","definition","avion"
"Cuando_fui_al_museo_vi_una_exposición_de_aviones,_habían_aviones_desde_los_más_antiguos,_que_eran_muy_bonitos,_hasta_los_de_ahora._Quedé_asombrado.m4v","Cuando fui al museo vi una exposición de aviones, habían aviones desde los más antiguos, que eran muy bonitos, hasta los de ahora. Quedé asombrado.","example","avion"
"Ají.m4v","Ají","word","aji"
"Planta_herbácea,_cuyo_fruto_es_pequeño_y_alargado,_que_se_usa_para_condimentar_y,_según_sus_variedades,_puede_ser_dulce_o_picante.m4v","Planta herbácea, cuyo fruto es pequeño y alargado, que se usa para condimentar y, según sus variedades, puede ser dulce o picante.","definition","aji"
"Las_personas_de_México_y_Turquía_les_fascina_echarle_ají_a_las_comidas_para_que_estén_picantes.m4v","Las personas de México y Turquía les fascina echarle ají a las comidas para que estén picantes.","example","aji"
"Ayer.m4v","Ayer","word","ayer"
"En_el_día_anterior_al_de_hoy.m4v","En el día anterior al de hoy.","definition","ayer"
"Una_persona_pregunta_¿Qué_hizo_ayer_._La_otra_responde_Fui_al_odontólogo.m4v","Una persona pregunta: ""¿Qué hizo ayer?"" . La otra responde: ""Fui al odontólogo""","example","ayer"
"Agosto.m4v","Agosto","word","agosto"
"Octavo_mes_de_año.m4v","Octavo mes de año.","definition","agosto"
"Es_usual_en_agosto_de_cada_año,_ir_al_parque_a_elevar_cometas.m4v","Es usual en agosto de cada año, ir al parque a elevar cometas.","example","agosto"
"Ajedrez.m4v","Ajedrez","word","ajedrez"
"Juego_que_se_practica_entre_dos_personas,_que_se_desarrolla_sobre_un_tablero_con_casillas_blancas_y_negras_sobre_el_que_deben_moverse_dieciséis_piezas_cada_una_según_unas_reglas.m4v","Juego que se practica entre dos personas, que se desarrolla sobre un tablero con casillas blancas y negras sobre el que deben moverse dieciséis piezas cada una según unas reglas.","definition","ajedrez"
"El_año_pasado_se_realizó_un_campeonato_mundial_de_ajedrez,_se_efectuaron_varios_partidos_y_al_final_el_que_le_ganó_a_todos_fue_un_niño_pequeño.m4v","El año pasado se realizó un campeonato mundial de ajedrez, se efectuaron varios partidos y al final el que le ganó a todos fue un niño pequeño.","example","ajedrez"
"Ágil.m4v","Ágil","word","agil"
"Que_actúa_con_facilidad_y_rapidez.m4v","Que actúa con facilidad y rapidez.","definition","agil"
